Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.DD.AADV.01A	0.0054424502984508	0	0	0	0	0.32471422778039	0	0	0.0587214576541187	0	0.0543212404281395	0.0615622862167984	0.0797206465714733	0.0604115452080273	0.040680248373408	0.101544053433774	0.00524156069167547	0	0.20308891275783	0	0	0.00455137058591545	0.84	-0.0236599549862812	1.10159559740241
TCGA.DD.AADW.01A	0.0805804801401745	0	0	0.0348189322665469	0	0.22481033810156	0	0.00162122048054708	0.0261509315663522	0	0	0.0317909451463856	0.00119729170127225	0.196765467159907	0.103261032178596	0.234633063912909	0	0	0.0643702973457488	0	0	0	0.36	0.0409112597917666	1.08386187335769
TCGA.DD.AADY.01A	0.0346852157490244	0	0	0.0252549186150418	0	0.366194128522766	0	0	0	0	0	0.0660996161392705	0.0483902627952022	0	0.120875448557962	0.212682727582499	0.00122261598197547	0	0.124595066056259	0	0	0	0.88	-0.0291644524160716	1.1092154244438
TCGA.DD.AAE0.01A	0	0	0	0.0676073783185168	0	0.180963953516825	0	0	0.0739602242741457	0	0	0.111871325183936	0.0172728363788455	0.336523525535708	0.0649010412662208	0.110499671752171	0	0	0.0364000437736317	0	0	0	0.2	0.0753569793497073	1.09213890445427
TCGA.DD.AAE1.01A	0.0522581767585618	0	0	0.0438675635857504	0	0.278202997257959	0	0	0.100979651717224	0	0	0.101017231293132	0.0368297577671004	0.00876342713748715	0.0927081873570443	0.171762168751548	0.0238819225977234	0	0.089728915776469	0	0	0	0.98	-0.0392212438232566	1.11292947678248
TCGA.DD.AAE2.01A	0.0646780470658885	0	0	0.0442899574368699	0	0.17659470455608	0	0	0.000966914815196603	0	0	0.0768948514009934	0.0320416577756049	0.127753953346636	0.226242645240097	0.0709522247888475	0.0131945690205771	0	0.16639047455321	0	0	0	0.12	0.114612760037997	1.07408571432674
TCGA.DD.AAE3.01A	0.00589106356915247	0	0.00129033983300405	0	0.0702852497072647	0.134368474177142	0	0.0024606696577312	0.00353898454290899	0	0.0396090591060603	0.0623565421431252	0.116247161922704	0	0.00537182149718275	0.47324073497379	0.00628893953831805	0	0.0790509593316161	0	0	0	0.78	-0.0106780106009336	1.11125167772418
TCGA.DD.AAE4.01A	0.0392635449636023	0	0.00870530662947645	0.000462785903876475	0	0.328745532152375	0	0.00275966910668279	0.00894896084147224	0.00701251269641084	0	0.0547685650262919	0.0361884474581631	0.0491461921893652	0.208375531663719	0.15632611406036	0.0125448619667966	0	0.0867519753414084	0	0	0	0.2	0.0705137219597939	1.08632675085505
TCGA.DD.AAE6.01A	0.104342787368246	0	0	0.00244764365970992	0	0.270252781752244	0	0	0.00257634755507053	0	0	0.0242638298770724	0.128415307825354	0.146361804019561	0.0132892049218859	0.0649297622483197	0.00305712881408074	0	0.240063401958455	0	0	0	0.74	-0.00514342794884858	1.08875929267657
TCGA.DD.AAE7.01A	0.0346302074775797	0	0.035236809453383	0	0	0.449155758730666	0	0	0	0.0188276870469781	0.0139539767990198	0	0.0165987260740223	0.0340059183092288	0.152067632102584	0.133245770059088	0.0177903772852842	0	0.0944871366621662	0	0	0	0.76	-0.00806973609148633	1.10587263872085
TCGA.DD.AAE9.01A	0.00709078599476876	0	0	0.105571969637278	0	0.116725290398743	0	0.00636348892668358	0.068605637575777	0	0.005503881250952	0.0653003472251312	0.0518878519744936	0.0880235757106234	0.0723746309124248	0.352210964969549	0	0	0.0603415754235757	0	0	0	0.7	0.00214095603613798	1.09915350682171
TCGA.DD.AAEA.01A	0.0465601027417519	0	0	0	0	0.330184991659929	0	0	0	0	0	0.10262417006862	0.0265804957635851	0.22386141599407	0.187790907818009	0.0524231244498498	0.000830934423137031	0	0.0291438570810481	0	0	0	0.14	0.0910327480775207	1.08905891583568
TCGA.DD.AAEB.01A	0	0	0.0220044232827905	0	0.00306652245636929	0.36280033372226	0	0	0.00166210208675332	0	0.157112276346857	0	0.0852458614680442	0.261302004788628	0.00210707717533861	0.0420988255833461	0	0	0.0626005730896133	0	0	0	0.2	0.0691641014017686	1.07833116166695
TCGA.DD.AAED.01A	0.0334683222686533	0	0	0.00291973208561666	0	0.224892753947524	0	0	0.0650290587533631	0	0.0304963761266698	0.0111648895132591	0	0.299333298746256	0.058042258049357	0.253318306177113	0	0	0.021335004332188	0	0	0	0.18	0.0834306556102381	1.08315191302496
TCGA.DD.AAEE.01A	0.0516692485993325	0	0	0	0	0.325926561573372	0	0	0.0502377044766009	0	0.0478750160082192	0.0523610111302063	0.0586123675789433	0.178849598276482	0.0387764767008029	0.0410748766903434	0.00576291543306065	0	0.148854223532637	0	0	0	0.38	0.0347885012015591	1.07659760541419
TCGA.DD.AAEG.01A	0.0776450050380612	0	0.0665771245713457	0	0	0.271366949390373	0	0	0.00870498792428248	0	0.030144814535276	0.0460718172352254	0	0.232275908599643	0.0755486776434386	0.0841812186654823	0	0	0.104446206687678	0	0.00303728970919356	0	0.2	0.0779290144848994	1.05616523550227
TCGA.DD.AAEH.01A	0.00342030758263106	0	0.0131912096379694	0.455687421729602	0	0.0869752180208363	0	0.0241847362158178	0.0335211612061714	0	0	0.110757117798774	0.0530625284282005	0.0348231513085284	0.0524976161919726	0.0390487886268912	0.0113945650444316	0	0.0814361782081737	0	0	0	0.38	0.0341052213424497	1.13577918107191
TCGA.DD.AAEI.01A	0.00152461949054729	0	0	0	0	0.263418748302592	0	0	0.040932400051688	0	0	0.0657091293598373	0.0390721546405403	0.0609981220236578	0.0705909176733141	0.203042711360604	0.00630720194184776	0	0.242920200504655	0	0.00548379465071672	0	0.68	0.00602722681927502	1.08905154092479
TCGA.DD.AAEK.01A	0.0800601414061534	0	0.00641259915542785	0	0.0636408224852307	0.195902499994872	0.00309106144114808	0	0.030366252444931	0	1.81403848322863e-05	0.0279979755707473	0.0199985591281918	0.189670031250681	0.168525423407442	0.100962102177088	0.00316462784323502	0	0.11018976331002	0	0	0	0.1	0.124024311580576	1.05113544563908
